cluster_id	ContamPct
0	0.0
1	94.0
2	0.0
3	0.0
4	0.0
5	0.0
6	597.8
7	787.4
8	887.4
9	588.0
10	188.2
11	195.9
12	110.0
13	0.0
14	903.0
15	678.4
16	109.6
17	415.4
18	0.0
19	0.0
20	754.4
21	707.3
22	372.9
23	105.3
24	759.3
25	0.0
26	0.0
27	0.0
28	0.0
29	0.0
30	0.0
31	0.0
32	0.0
33	0.0
34	748.6
35	134.8
36	0.0
37	0.0
38	0.0
39	0.0
40	0.0
41	0.0
42	0.0
43	0.0
44	0.0
45	0.0
46	0.0
47	0.0
48	0.0
49	0.0
50	0.0
51	310.4
52	0.0
53	0.0
54	0.0
55	0.0
56	0.0
57	0.0
58	0.0
